Station,date,temp,prec
8,1-1980,-2.5,24
8,2-1980,-0.9,32
8,3-1980,0.8,19
8,4-1980,5.9,27
8,5-1980,10.1,3
8,6-1980,14.9,45
8,7-1980,15.8,111
8,8-1980,15.6,94
8,9-1980,13.8,48
8,10-1980,7.9,131
8,11-1980,4.2,85
8,12-1980,2,62
8,1-1981,-0.9,47
8,2-1981,0,51
8,3-1981,3,86
8,4-1981,5.3,8
8,5-1981,12.4,77
8,6-1981,13.3,105
8,7-1981,15.7,117
8,8-1981,15.5,75
8,9-1981,13.6,48
8,10-1981,8,91
8,11-1981,5.1,72
8,12-1981,-4.3,34
8,1-1982,-3.6,48
8,2-1982,-0.9,10
8,3-1982,3.6,40
8,4-1982,6.6,14
8,5-1982,10.7,52
8,6-1982,14.1,65
8,7-1982,16.8,66
8,8-1982,16.9,66
8,9-1982,13.6,39
8,10-1982,10.4,73
8,11-1982,6.2,59
8,12-1982,2.3,76
8,1-1983,4.2,40
8,2-1983,-1.6,13
8,3-1983,3.5,50
8,4-1983,6.8,82
8,5-1983,10.7,113
8,6-1983,13.4,17
8,7-1983,16.5,8
8,8-1983,16.8,2
8,9-1983,13.2,71
8,10-1983,9.2,47
8,11-1983,4.1,46
8,12-1983,1.2,48
8,1-1984,1,95
8,2-1984,-0.1,26
8,3-1984,1.2,17
8,4-1984,6.5,25
8,5-1984,11,15
8,6-1984,13.3,71
8,7-1984,15.4,13
8,8-1984,17,75
8,9-1984,11.8,73
8,10-1984,10.5,104
8,11-1984,5.7,47
8,12-1984,2.1,19
8,1-1985,-5.6,32.3
8,2-1985,-3.9,12.3
8,3-1985,1,48.3
8,4-1985,5.2,43.3
8,5-1985,11.5,49.7
8,6-1985,13.6,39.2
8,7-1985,15.5,78.4
8,8-1985,15.6,52.7
8,9-1985,11.9,54.5
8,10-1985,10.2,29.7
8,11-1985,2.1,48.3
8,12-1985,3.3,101.2
8,1-1986,-1.1,70
8,2-1986,-5.1,2
8,3-1986,1.4,42.2
8,4-1986,4.7,17.6
8,5-1986,11.9,37.3
8,6-1986,14.2,22.3
8,7-1986,16,44.2
8,8-1986,14.8,29.2
8,9-1986,10.9,38.5
8,10-1986,9.4,74.9
8,11-1986,6.9,55.8
8,12-1986,2.9,54.9
8,1-1987,-4.6,18.2
8,2-1987,-0.5,17.8
8,3-1987,-1.6,33.4
8,4-1987,6.9,33.3
8,5-1987,8.9,40.5
8,6-1987,11.6,75.3
8,7-1987,14.5,56.2
8,8-1987,13.9,56
8,9-1987,12,65.6
8,10-1987,9.2,44.5
8,11-1987,5.6,72.3
8,12-1987,2.5,24.8
8,1-1988,3.5,108.4
8,2-1988,2.3,67.8
8,3-1988,1.8,59.9
8,4-1988,5.9,13.4
8,5-1988,11.9,44.6
8,6-1988,15.1,35.6
8,7-1988,15.9,106.2
8,8-1988,15,51
8,9-1988,12.8,72.7
8,10-1988,8.4,69.9
8,11-1988,3.5,43.3
8,12-1988,3.5,38.4
8,1-1989,4.2,13.3
8,2-1989,4,32.3
8,3-1989,5.5,65.3
8,4-1989,5.9,35
8,5-1989,11.8,8.8
8,6-1989,14.5,30.3
8,7-1989,16.7,44.8
8,8-1989,15.2,98.6
8,9-1989,13.6,31.9
8,10-1989,10.2,80.1
8,11-1989,4,18.8
8,12-1989,2.2,54.6
