Station,date,temp,prec
1,1-1980,-2.2,43
1,2-1980,-1.1,37
1,3-1980,0.6,41
1,4-1980,6.1,37
1,5-1980,10.1,11
1,6-1980,14.6,182
1,7-1980,15.4,133
1,8-1980,15.2,138
1,9-1980,13.3,73
1,10-1980,7.6,238
1,11-1980,3.8,142
1,12-1980,2,112
1,1-1981,-0.8,82
1,2-1981,-0.2,74
1,3-1981,2.9,125
1,4-1981,5.8,14
1,5-1981,12.5,88
1,6-1981,13.3,164
1,7-1981,14.8,99
1,8-1981,15.3,70
1,9-1981,13.4,42
1,10-1981,7.5,169
1,11-1981,4.7,130
1,12-1981,-4.8,45
1,1-1982,-3.5,75
1,2-1982,-0.6,23
1,3-1982,3.4,54
1,4-1982,6.3,24
1,5-1982,10.4,61
1,6-1982,14.2,40
1,7-1982,16.8,34
1,8-1982,16.9,193
1,9-1982,13.4,47
1,10-1982,9.9,113
1,11-1982,6.1,119
1,12-1982,2.3,158
1,1-1983,4.2,113
1,2-1983,-1.5,29
1,3-1983,3.2,90
1,4-1983,6.7,86
1,5-1983,10.3,168
1,6-1983,14,29
1,7-1983,17.1,12
1,8-1983,17,6
1,9-1983,12.8,152
1,10-1983,9.2,124
1,11-1983,4.2,59
1,12-1983,1.3,86
1,1-1984,0.7,112
1,2-1984,-0.1,48
1,3-1984,1.1,38
1,4-1984,6.2,22
1,5-1984,10.7,44
1,6-1984,13.1,75
1,7-1984,14.6,52
1,8-1984,16.9,26
1,9-1984,11.8,128
1,10-1984,10.3,175
1,11-1984,5.7,88
1,12-1984,2.3,44
1,1-1985,-6,66.4
1,2-1985,-3.5,23.8
1,3-1985,1.1,58.1
1,4-1985,5,69.9
1,5-1985,11.3,44
1,6-1985,13.2,61.9
1,7-1985,15.5,103.4
1,8-1985,15.1,94.3
1,9-1985,11.8,122.4
1,10-1985,10.1,44.6
1,11-1985,1.9,90.4
1,12-1985,2.5,165.3
1,1-1986,-1.7,107.4
1,2-1986,-5.5,1.6
1,3-1986,1,67.7
1,4-1986,4.5,42.8
1,5-1986,11.6,56.8
1,6-1986,14.2,25.7
1,7-1986,15.6,44
1,8-1986,14.6,78.2
1,9-1986,10.8,73.9
1,10-1986,9.1,150.8
1,11-1986,6.8,84.5
1,12-1986,2.1,116.8
1,1-1987,-4.6,31.7
1,2-1987,-0.6,31.6
1,3-1987,-1.7,49
1,4-1987,6.9,26.2
1,5-1987,9.5,44.4
1,6-1987,11,117
1,7-1987,15,48.6
1,8-1987,14.1,111.2
1,9-1987,12.1,121.9
1,10-1987,9.1,100.3
1,11-1987,5.7,105.4
1,12-1987,2.7,66.6
1,1-1988,3.5,130.3
1,2-1988,2.3,107.7
1,3-1988,2,118.7
1,4-1988,5.8,23.3
1,5-1988,12,55.2
1,6-1988,14.7,54.8
1,7-1988,15.3,158.6
1,8-1988,14.6,121.6
1,9-1988,12.8,116.6
1,10-1988,8.4,102.4
1,11-1988,4,61
1,12-1988,3.9,76.1
1,1-1989,4.4,37.4
1,2-1989,4.3,57.8
1,3-1989,5.5,113.8
1,4-1989,5.7,60.2
1,5-1989,11.4,13.4
1,6-1989,14.6,35.3
1,7-1989,16,45
1,8-1989,14.8,36.2
1,9-1989,13.5,38.7
1,10-1989,10.1,99.4
1,11-1989,3.8,32.4
1,12-1989,2.7,61.9
