Station,date,temp,prec
22,1-1980,-3.1,23
22,2-1980,-1.3,27
22,3-1980,0.2,18
22,4-1980,5.8,26.6
22,5-1980,9.8,3.8
22,6-1980,15,55.3
22,7-1980,15.9,76.5
22,8-1980,15.6,101
22,9-1980,13.4,57.2
22,10-1980,8.1,89.8
22,11-1980,4,59.1
22,12-1980,2,46.2
22,1-1981,-1.1,39
22,2-1981,0.3,31
22,3-1981,2.9,81
22,4-1981,6,11
22,5-1981,12.4,75
22,6-1981,13.9,77
22,7-1981,15.5,128
22,8-1981,15.6,67
22,9-1981,13.4,40
22,10-1981,8.2,95
22,11-1981,5,78
22,12-1981,-4.4,39
22,1-1982,-4,53
22,2-1982,-1.2,12
22,3-1982,3.6,34
22,4-1982,6.6,16
22,5-1982,10.8,64
22,6-1982,13.9,81
22,7-1982,17,18
22,8-1982,17.4,48
22,9-1982,13.6,21
22,10-1982,10.4,110
22,11-1982,6.2,54
22,12-1982,2.5,51
22,1-1983,4.3,44
22,2-1983,-1.2,12
22,3-1983,3.4,58
22,4-1983,6.7,75
22,5-1983,10.8,110
22,6-1983,14,28
22,7-1983,17.4,6
22,8-1983,17.2,7
22,9-1983,13.7,52
22,10-1983,9.4,55
22,11-1983,3.9,55
22,12-1983,0.6,52
22,1-1984,1.1,57
22,2-1984,0,20
22,3-1984,1,15
22,4-1984,6.6,17
22,5-1984,11.4,31
22,6-1984,13.3,93
22,7-1984,15.3,24
22,8-1984,17.2,13
22,9-1984,12,98
22,10-1984,10.7,94
22,11-1984,5.5,36
22,12-1984,1.8,15
22,1-1985,-5.9,27.9
22,2-1985,-4.7,16.3
22,3-1985,0.9,49.8
22,4-1985,4.9,55.9
22,5-1985,11.7,42.8
22,6-1985,13.3,65.3
22,7-1985,15.5,71.8
22,8-1985,15.8,59.3
22,9-1985,12.3,65.9
22,10-1985,9.9,16.5
22,11-1985,2.1,42.7
22,12-1985,2.9,106.8
22,1-1986,-1.5,50.2
22,2-1986,-5.5,0.5
22,3-1986,1.2,35.9
22,4-1986,4.5,22.9
22,5-1986,11.6,45.5
22,6-1986,14,18.7
22,7-1986,16,61.9
22,8-1986,14.7,43.1
22,9-1986,11.4,43.1
22,10-1986,9.7,69.7
22,11-1986,7,48.6
22,12-1986,2.5,49.8
22,1-1987,-5.9,16.2
22,2-1987,-1.1,14.3
22,3-1987,-2.3,22.7
22,4-1987,,
22,5-1987,9.1,43.8
22,6-1987,11.9,93.2
22,7-1987,14.3,88.1
22,8-1987,14,41.2
22,9-1987,12.2,77.1
22,10-1987,9.1,27.4
22,11-1987,5.8,75
22,12-1987,2.8,46.6
22,1-1988,3.5,92.5
22,2-1988,2.3,54
22,3-1988,1.9,43.9
22,4-1988,5.8,14.7
22,5-1988,12.1,28.6
22,6-1988,15.4,33.4
22,7-1988,16.3,81.2
22,8-1988,15.5,32
22,9-1988,13.3,59.4
22,10-1988,8.4,51.8
22,11-1988,3.3,28.6
22,12-1988,3.4,24.8
22,1-1989,4.2,9.3
22,2-1989,4.1,20.6
22,3-1989,5.4,57.1
22,4-1989,6.2,31.4
22,5-1989,11.7,7.6
22,6-1989,14.5,47.7
22,7-1989,17,38.8
22,8-1989,15.6,132.5
22,9-1989,13.8,20.5
22,10-1989,10.3,63.3
22,11-1989,4,17.8
22,12-1989,2.2,55.7
