Station,date,temp,prec
37,1-1984,,
37,2-1984,,
37,3-1984,,
37,4-1984,,
37,5-1984,,
37,6-1984,,
37,7-1984,,
37,8-1984,,
37,9-1984,,
37,10-1984,,
37,11-1984,,
37,12-1984,2.7,20.6
37,1-1985,-6,22.2
37,2-1985,-4.4,13.4
37,3-1985,0.9,30.9
37,4-1985,4.5,38.2
37,5-1985,11.1,25.1
37,6-1985,12.9,59.9
37,7-1985,15.3,74.2
37,8-1985,14.9,71.5
37,9-1985,11.2,67
37,10-1985,9.5,32.2
37,11-1985,1.1,50.9
37,12-1985,1.8,116.3
37,1-1986,-2.4,64.2
37,2-1986,-5.9,0
37,3-1986,1.2,46.5
37,4-1986,4.1,32.6
37,5-1986,11,41.3
37,6-1986,13.8,29
37,7-1986,14.8,33.7
37,8-1986,13.8,104.2
37,9-1986,9.9,30.9
37,10-1986,8.3,74.8
37,11-1986,6.2,61.6
37,12-1986,1.7,54.9
37,1-1987,-5.6,10.3
37,2-1987,-0.5,30.3
37,3-1987,-2.2,28.2
37,4-1987,6.5,28.6
37,5-1987,8.6,21.2
37,6-1987,10.7,92.4
37,7-1987,14,83.3
37,8-1987,13.3,74.4
37,9-1987,10.9,120.1
37,10-1987,8.3,87.3
37,11-1987,4.8,69.4
37,12-1987,2.6,49
37,1-1988,3,96.5
37,2-1988,1.9,78.4
37,3-1988,1.2,65
37,4-1988,5,21.5
37,5-1988,11.9,20.2
37,6-1988,15.3,33.8
37,7-1988,15.4,78.7
37,8-1988,14.6,62.6
37,9-1988,12.6,61.8
37,10-1988,7.8,61.5
37,11-1988,3.2,22.2
37,12-1988,3.6,45.5
37,1-1989,5,17.1
37,2-1989,4.3,57.1
37,3-1989,5.2,65.4
37,4-1989,5.7,37.9
37,5-1989,10.8,45.2
37,6-1989,13.8,21.6
37,7-1989,16.2,39
37,8-1989,14.5,27.8
37,9-1989,12.8,48.9
37,10-1989,9.7,82.1
37,11-1989,3.9,18.7
37,12-1989,2.1,59.2
