Station,date,temp,prec
20,1-1980,-2.5,39
20,2-1980,0,37
20,3-1980,1.4,40
20,4-1980,6.3,37
20,5-1980,10,10
20,6-1980,14.6,163
20,7-1980,15.3,99
20,8-1980,15.6,161
20,9-1980,13.8,73
20,10-1980,7.8,246
20,11-1980,3.9,124
20,12-1980,1.7,90
20,1-1981,-0.9,57
20,2-1981,0.2,57
20,3-1981,4,112
20,4-1981,5.8,11
20,5-1981,12.6,109
20,6-1981,13.6,105
20,7-1981,15.2,63
20,8-1981,15.3,87
20,9-1981,13.4,26
20,10-1981,7.9,185
20,11-1981,4.8,91
20,12-1981,-4.9,36
20,1-1982,-2.7,70
20,2-1982,-0.2,19
20,3-1982,3.6,66
20,4-1982,6.1,32
20,5-1982,10.6,54
20,6-1982,14.8,72
20,7-1982,16.8,45
20,8-1982,17.1,135
20,9-1982,13.8,54
20,10-1982,10.5,86
20,11-1982,6.2,111
20,12-1982,2.5,121
20,1-1983,4.6,75
20,2-1983,-0.7,31
20,3-1983,3.9,97
20,4-1983,7.4,77
20,5-1983,10.7,154
20,6-1983,14.5,36
20,7-1983,17.6,23
20,8-1983,16.9,6
20,9-1983,13.5,122
20,10-1983,9.6,122
20,11-1983,4.3,66
20,12-1983,0.8,86
20,1-1984,1.4,120
20,2-1984,0.1,43
20,3-1984,1.7,39
20,4-1984,6.3,26
20,5-1984,10.7,60
20,6-1984,12.9,96
20,7-1984,15,61
20,8-1984,16.6,68
20,9-1984,12.1,134
20,10-1984,10.6,180
20,11-1984,5.8,72
20,12-1984,2.6,43
20,1-1985,-5.4,48.8
20,2-1985,-3.4,21.1
20,3-1985,1.8,68.4
20,4-1985,6,47.6
20,5-1985,11.8,38.8
20,6-1985,13.3,99.8
20,7-1985,16.1,103.8
20,8-1985,16,105.7
20,9-1985,12.6,88.1
20,10-1985,10.1,49
20,11-1985,2,109.9
20,12-1985,3.4,127.1
20,1-1986,-1.5,95.5
20,2-1986,-5.2,3.1
20,3-1986,1.6,58.1
20,4-1986,5.5,34.4
20,5-1986,11.9,36.8
20,6-1986,14.3,49.4
20,7-1986,15.9,42.7
20,8-1986,14.6,55.2
20,9-1986,10.8,68.6
20,10-1986,9.6,136.8
20,11-1986,7,103.1
20,12-1986,2.6,125.1
20,1-1987,-3.8,38.6
20,2-1987,-0.2,30.4
20,3-1987,-0.6,54.3
20,4-1987,7.4,22.6
20,5-1987,8.9,66.2
20,6-1987,11.7,125.2
20,7-1987,15,71.7
20,8-1987,14.2,93.2
20,9-1987,12.3,109.5
20,10-1987,9.3,96.1
20,11-1987,5.5,118.5
20,12-1987,2.4,63
20,1-1988,3.8,147.9
20,2-1988,2.6,119.5
20,3-1988,2.4,114.1
20,4-1988,6,19.7
20,5-1988,12,52.8
20,6-1988,14.8,66.7
20,7-1988,15.7,155.2
20,8-1988,14.9,78.6
20,9-1988,12.9,125.3
20,10-1988,8.8,83.5
20,11-1988,4.2,55.3
20,12-1988,4.3,78
20,1-1989,4.5,22.8
20,2-1989,4.4,54.8
20,3-1989,6.1,92.8
20,4-1989,6,58
20,5-1989,11.7,12.8
20,6-1989,14.6,55
20,7-1989,16.2,67.3
20,8-1989,15.1,68.1
20,9-1989,14,30.8
20,10-1989,10.3,103.6
20,11-1989,3.5,25.3
20,12-1989,2.7,76.4
