Station,date,temp,prec
27,1-1980,-1.6,45
27,2-1980,-2.2,50
27,3-1980,0.3,25
27,4-1980,6.5,27
27,5-1980,11,12
27,6-1980,14.6,157
27,7-1980,15.9,80
27,8-1980,15,103
27,9-1980,13.2,65
27,10-1980,7.9,179
27,11-1980,3.6,98
27,12-1980,2.8,106
27,1-1981,0.2,85
27,2-1981,0.5,32
27,3-1981,1.9,116
27,4-1981,5.3,14
27,5-1981,12.3,127
27,6-1981,12.5,60
27,7-1981,14.9,86
27,8-1981,14.9,49
27,9-1981,13.7,73
27,10-1981,8,154
27,11-1981,5.1,142
27,12-1981,-3.7,40
27,1-1982,-3.9,66
27,2-1982,-0.5,30
27,3-1982,3.5,64
27,4-1982,6.3,22
27,5-1982,10.2,55
27,6-1982,13.9,104
27,7-1982,16.5,35
27,8-1982,16.4,113
27,9-1982,13,90
27,10-1982,9.4,131
27,11-1982,6.2,125
27,12-1982,2.5,156
27,1-1983,4.5,98
27,2-1983,-0.6,23
27,3-1983,3.2,93
27,4-1983,6.4,59
27,5-1983,9.7,164
27,6-1983,13.3,45
27,7-1983,16.2,28
27,8-1983,16.2,8
27,9-1983,12.6,174
27,10-1983,9,151
27,11-1983,4.5,42
27,12-1983,2.2,56
27,1-1984,0.4,168
27,2-1984,0.1,42
27,3-1984,0.7,33
27,4-1984,5.6,12
27,5-1984,11.1,30
27,6-1984,13.2,89
27,7-1984,15.1,17
27,8-1984,16.4,32
27,9-1984,11.8,126
27,10-1984,10.4,179
27,11-1984,5.9,76
27,12-1984,3.1,45
27,1-1985,-5.1,62.2
27,2-1985,-3.7,31.4
27,3-1985,1,63.8
27,4-1985,4.2,70.7
27,5-1985,10.6,11.7
27,6-1985,12.5,52.7
27,7-1985,15.2,80.1
27,8-1985,14.8,113.2
27,9-1985,11.5,81.9
27,10-1985,10.1,27.1
27,11-1985,1.9,64.8
27,12-1985,2,184
27,1-1986,-1.5,91
27,2-1986,-5.1,1.9
27,3-1986,1.3,58.1
27,4-1986,4,31.8
27,5-1986,10.7,49.2
27,6-1986,13.9,34.9
27,7-1986,14.9,21.5
27,8-1986,14.4,113.1
27,9-1986,10.4,38.4
27,10-1986,8.9,98.1
27,11-1986,6.6,112.3
27,12-1986,2.3,79.8
27,1-1987,-4.2,18.7
27,2-1987,0,47.5
27,3-1987,-2.1,56.9
27,4-1987,6.2,22.8
27,5-1987,8.6,23.6
27,6-1987,10.8,117
27,7-1987,,63
27,8-1987,,84.4
27,9-1987,,91.8
27,10-1987,9.1,126.8
27,11-1987,5.7,87
27,12-1987,3.5,59
27,1-1988,3.3,107.6
27,2-1988,2.4,92
27,3-1988,1.4,62.7
27,4-1988,4.6,29.1
27,5-1988,11.9,7.2
27,6-1988,14.6,19.9
27,7-1988,15.4,110
27,8-1988,14.6,90.9
27,9-1988,12.9,92.8
27,10-1988,8.4,78.8
27,11-1988,4.4,36.1
27,12-1988,4.3,69.9
27,1-1989,5.5,38.5
27,2-1989,4.6,107.7
27,3-1989,5.2,129.8
27,4-1989,5.4,42.7
27,5-1989,10.2,49.8
27,6-1989,13.4,59.2
27,7-1989,15.5,30.2
27,8-1989,14.2,60.8
27,9-1989,13,59.1
27,10-1989,10,131.5
27,11-1989,5.4,65.1
27,12-1989,3.1,53.3
