"decade","app.timing","app.mthd","crop.status","incorp","incorp.timing","man.source","None","Barn acidified","Field acidified","rr6.4","rr6.0"
2010,"March","Trailing hose","-","None","None","Cattle",20.4,7.24,9.74,52.3,64.5
2010,"March","Trailing hose","-","None","None","Pig",NA,7.03,9.32,NA,NA
2010,"March","Trailing hose","-","Shallow","12.0","Cattle",9.22,2.72,3.81,58.7,70.5
2010,"March","Trailing hose","-","Shallow","12.0","Pig",8.94,2.54,3.47,61.2,71.6
2010,"March","Trailing hose","-","Shallow","12.0","Digestate",13.7,NA,NA,NA,NA
2010,"March","Trailing hose","-","Shallow","24.0","Cattle",10.8,3.21,4.5,58.3,70.3
2010,"March","Trailing hose","-","Shallow","24.0","Pig",10.4,3,4.09,60.7,71.2
2010,"March","Trailing hose","-","Shallow","24.0","Digestate",15.8,NA,NA,NA,NA
2010,"March","Trailing hose","-","Shallow","4.0","Cattle",7.48,2.31,3.2,57.2,69.1
2010,"March","Trailing hose","-","Shallow","4.0","Pig",7.43,2.17,2.94,60.4,70.8
2010,"March","Trailing hose","-","Shallow","4.0","Digestate",11.1,NA,NA,NA,NA
2010,"March","Trailing hose","-","Shallow","6.0","Cattle",8,2.42,3.37,57.9,69.8
2010,"March","Trailing hose","-","Shallow","6.0","Pig",7.88,2.27,3.09,60.8,71.2
2010,"March","Trailing hose","-","Shallow","6.0","Digestate",11.9,NA,NA,NA,NA
2010,"March","Trailing hose","+","None","None","Cattle",19.2,7,9.33,51.4,63.5
2010,"March","Trailing hose","+","None","None","Pig",20.6,6.89,9.1,55.8,66.6
2010,"March","Trailing hose","+","None","None","Digestate",26.8,NA,NA,NA,NA
2010,"March","Open slot injection","-","None","None","Cattle",10.7,NA,NA,NA,NA
2010,"March","Open slot injection","-","None","None","Pig",11.4,NA,NA,NA,NA
2010,"March","Open slot injection","-","None","None","Digestate",14.7,NA,NA,NA,NA
2010,"March","Open slot injection","+","None","None","Cattle",10.7,NA,NA,NA,NA
2010,"March","Open slot injection","+","None","None","Pig",11.4,NA,NA,NA,NA
2010,"March","Open slot injection","+","None","None","Digestate",14.7,NA,NA,NA,NA
2010,"April","Trailing hose","-","None","None","Cattle",24.4,8.41,11.5,52.9,65.5
2010,"April","Trailing hose","-","None","None","Pig",NA,7.89,10.5,NA,NA
2010,"April","Trailing hose","-","Shallow","12.0","Cattle",12.5,3.43,4.94,60.5,72.6
2010,"April","Trailing hose","-","Shallow","12.0","Pig",10.9,3.01,4.18,61.7,72.4
2010,"April","Trailing hose","-","Shallow","12.0","Digestate",17.6,NA,NA,NA,NA
2010,"April","Trailing hose","-","Shallow","24.0","Cattle",14.5,4.05,5.84,59.7,72.1
2010,"April","Trailing hose","-","Shallow","24.0","Pig",12.4,3.56,4.93,60.2,71.3
2010,"April","Trailing hose","-","Shallow","24.0","Digestate",19.7,NA,NA,NA,NA
2010,"April","Trailing hose","-","Shallow","4.0","Cattle",9.8,2.83,4.01,59.1,71.1
2010,"April","Trailing hose","-","Shallow","4.0","Pig",8.92,2.53,3.48,61,71.6
2010,"April","Trailing hose","-","Shallow","4.0","Digestate",14.1,NA,NA,NA,NA
2010,"April","Trailing hose","-","Shallow","6.0","Cattle",10.6,3,4.29,59.5,71.7
2010,"April","Trailing hose","-","Shallow","6.0","Pig",9.55,2.66,3.68,61.5,72.1
2010,"April","Trailing hose","-","Shallow","6.0","Digestate",15.3,NA,NA,NA,NA
2010,"April","Trailing hose","+","None","None","Cattle",21.6,7.73,10.4,51.9,64.2
2010,"April","Trailing hose","+","None","None","Pig",22.5,7.52,9.95,55.8,66.6
2010,"April","Trailing hose","+","None","None","Digestate",29.6,NA,NA,NA,NA
2010,"April","Open slot injection","-","None","None","Cattle",12.2,NA,NA,NA,NA
2010,"April","Open slot injection","-","None","None","Pig",12.5,NA,NA,NA,NA
2010,"April","Open slot injection","-","None","None","Digestate",16.4,NA,NA,NA,NA
2010,"April","Open slot injection","+","None","None","Cattle",12.2,NA,NA,NA,NA
2010,"April","Open slot injection","+","None","None","Pig",12.5,NA,NA,NA,NA
2010,"April","Open slot injection","+","None","None","Digestate",16.4,NA,NA,NA,NA
2010,"May","Trailing hose","+","None","None","Cattle",27,9.37,12.8,52.6,65.3
2010,"May","Trailing hose","+","None","None","Pig",25.6,8.67,11.6,54.7,66.1
2010,"May","Trailing hose","+","None","None","Digestate",34.9,NA,NA,NA,NA
2010,"Spring-summer","Broadcast","+","None","None","Cattle",42.5,22.3,28.4,33.2,47.5
2010,"Spring-summer","Broadcast","+","None","None","Pig",29.4,13.7,17,42.2,53.4
2010,"Spring-summer","Broadcast","+","None","None","Digestate",42,NA,NA,NA,NA
2010,"Summer","Trailing hose","-","None","None","Cattle",35.7,13.3,18.3,48.7,62.7
2010,"Summer","Trailing hose","-","None","None","Pig",NA,10.9,14.4,NA,NA
2010,"Summer","Trailing hose","-","Shallow","12.0","Cattle",23.7,6.91,10.3,56.5,70.8
2010,"Summer","Trailing hose","-","Shallow","12.0","Pig",15.3,5.01,7.01,54.2,67.3
2010,"Summer","Trailing hose","-","Shallow","12.0","Digestate",25.9,NA,NA,NA,NA
2010,"Summer","Trailing hose","-","Shallow","24.0","Cattle",25.8,8.13,11.9,53.9,68.5
2010,"Summer","Trailing hose","-","Shallow","24.0","Pig",16.7,5.85,8.04,51.9,65
