"id","decade","app.timing.d","crop.status","app.mthd.d","incorp.timing","man.descrip.d","man.source.d","EF.2008","EF.current","EF.2008.source"
"0001-2000",2000,"Marts","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Kvæg",1.63,1.6,"Table 11"
"0002-2000",2000,"April","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Kvæg",1.78,1.6,"Table 11"
"0003-2000",2000,"Marts","+","Nedfælder","None","Ikke behandlet gylle","Kvæg",24.5,12,"Table 11"
"0004-2000",2000,"April","+","Nedfælder","None","Ikke behandlet gylle","Kvæg",26.7,13,"Table 11"
"0005-2000",2000,"Sommer, græsnedfældning","+","Nedfælder","None","Ikke behandlet gylle","Kvæg",32,15,"Table 11"
"0006-2000",2000,"Sommer, før vinterraps","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Kvæg",2.14,1.6,"Table 11"
"0007-2000",2000,"Efterår","+","Nedfælder","None","Ikke behandlet gylle","Kvæg",28.6,15,"Table 11"
"0008-2000",2000,"Efterår","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Kvæg",1.91,1.6,"Table 11"
"0009-2000",2000,"Marts","-","Slæbeslanger","24.0","Ikke behandlet gylle","Kvæg",32.6,9.7,"Table 12 - havning"
"0011-2000",2000,"Marts","-","Slæbeslanger","6.0","Ikke behandlet gylle","Kvæg",9.4,3.6,"Table 12 - havning"
"0012-2000",2000,"Marts","-","Slæbeslanger","4.0","Ikke behandlet gylle","Kvæg",7,2.7,"Table 12 - havning"
"0013-2000",2000,"April","-","Slæbeslanger","24.0","Ikke behandlet gylle","Kvæg",35.6,14,"Table 12 - havning"
"0015-2000",2000,"April","-","Slæbeslanger","6.0","Ikke behandlet gylle","Kvæg",10.3,5.6,"Table 12 - havning"
"0016-2000",2000,"April","-","Slæbeslanger","4.0","Ikke behandlet gylle","Kvæg",7.6,4.2,"Table 12 - havning"
"0017-2000",2000,"Marts","+","Slæbeslanger","None","Ikke behandlet gylle","Kvæg",26.4,21,"Table 10"
"0018-2000",2000,"April","+","Slæbeslanger","None","Ikke behandlet gylle","Kvæg",28.1,25,"Table 10"
"0019-2000",2000,"Maj","+","Slæbeslanger","None","Ikke behandlet gylle","Kvæg",25.5,29,"Table 10"
"0020-2000",2000,"Sommer","+","Slæbeslanger","None","Ikke behandlet gylle","Kvæg",6,32,"Table 10 Juli"
"0021-2000",2000,"Sommer","-","Slæbeslanger","24.0","Ikke behandlet gylle","Kvæg",42.7,27,NA
"0023-2000",2000,"Sommer","-","Slæbeslanger","6.0","Ikke behandlet gylle","Kvæg",12.4,15,"Table 12"
"0024-2000",2000,"Sommer","-","Slæbeslanger","4.0","Ikke behandlet gylle","Kvæg",9.1,11,"Table 12"
"0025-2000",2000,"Efterår","+","Slæbeslanger","None","Ikke behandlet gylle","Kvæg",32,31,"Table 10"
"0026-2000",2000,"Efterår","-","Slæbeslanger","24.0","Ikke behandlet gylle","Kvæg",38.1,24,"Table 12"
"0028-2000",2000,"Efterår","-","Slæbeslanger","6.0","Ikke behandlet gylle","Kvæg",11,12,"Table 12"
"0029-2000",2000,"Efterår","-","Slæbeslanger","4.0","Ikke behandlet gylle","Kvæg",8.1,9,"Table 12"
"0038-2000",2000,"Marts","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Svin",0.86,1.8,"Table 11"
"0039-2000",2000,"April","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Svin",0.94,1.8,"Table 11"
"0040-2000",2000,"Marts","+","Nedfælder","None","Ikke behandlet gylle","Svin",12.8,9.6,"Table 11"
"0041-2000",2000,"April","+","Nedfælder","None","Ikke behandlet gylle","Svin",14,9.8,"Table 11"
"0042-2000",2000,"Sommer, græsnedfældning","+","Nedfælder","None","Ikke behandlet gylle","Svin",16.8,10,"Table 11"
"0043-2000",2000,"Sommer, før vinterraps","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Svin",1.12,1.8,"Table 11"
"0044-2000",2000,"Efterår","+","Nedfælder","None","Ikke behandlet gylle","Svin",15,10,"Table 11"
"0045-2000",2000,"Efterår","-","Sortjordsnedfældning","None","Ikke behandlet gylle","Svin",1,1.8,"Table 11"
"0046-2000",2000,"Marts","-","Slæbeslanger","24.0","Ikke behandlet gylle","Svin",17.1,6.5,"Table 12"
"0048-2000",2000,"Marts","-","Slæbeslanger","6.0","Ikke behandlet gylle","Svin",8,2.9,"Table 12"
"0049-2000",2000,"Marts","-","Slæbeslanger","4.0","Ikke behandlet gylle","Svin",7,2.2,"Table 12"
"0050-2000",2000,"April","-","Slæbeslanger","24.0","Ikke behandlet gylle","Svin",18.7,8,"Table 12"
"0052-2000",2000,"April","-","Slæbeslanger","6.0","Ikke behandlet gylle","Svin",8.7,4.1,"Table 12"
"0053-2000",2000,"April","-","Slæbeslanger","4.0","Ikke behandlet gylle","Svin",7.7,3.1,"Table 12"
"0054-2000",2000,"Marts","+","Slæbeslanger","None","Ikke behandlet gylle","Svin",13.9,14,"Table 10"
"0055-2000",2000,"April","+","Slæbeslanger","None","Ikke behandlet gylle","Svin",14.8,15,"Table 10"
"0056-2000",2000,"Maj","+","Slæbeslanger","None","Ikke behandlet gylle","Svin",13.4,15,"Table 10"
"0057-2000",2000,"Sommer","+","Slæbeslanger","None","Ikke behandlet gylle","Svin",3.1,16,"Table 10"
"0058-2000",2000,"Sommer","-","Slæbeslanger","24.0","Ikke behandlet gylle","Svin",22.4,9.5,NA
