"id","decade","app.timing","app.mthd","crop","crop.hght","incorp.descrip","man.source","man.dm","man.ph","man.trt","air.temp","wind.2m","rain.rate","EFp"
"010-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,6.8
"113-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,1.9
"179-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,6.4,"Field acidified",4.9,4.02,0.09,3.2
"245-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,11
"305-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,3.8
"345-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,6.4,"Field acidified",4.9,4.02,0.09,5.9
"009-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,11
"112-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,3.1
"178-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,6.4,"Field acidified",4.9,4.02,0.09,5.2
"244-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,14
"304-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,4.7
"344-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,6.4,"Field acidified",4.9,4.02,0.09,7.4
"012-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,3.1
"115-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,0.92
"181-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,6.4,"Field acidified",4.9,4.02,0.09,1.5
"247-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,8.1
"307-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,3.1
"347-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,6.4,"Field acidified",4.9,4.02,0.09,4.7
"011-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,4.1
"114-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,1.2
"180-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,6.4,"Field acidified",4.9,4.02,0.09,1.9
"246-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,8.8
"306-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,3.3
"346-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,6.4,"Field acidified",4.9,4.02,0.09,5
"017-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Cattle",6.5,7,"None",4.9,4.02,0.09,22
"120-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,9.6
"133-2010",2010,"March","Trailing hose","None",0,"None","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,9.6
"186-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Cattle",6.5,6.4,"Field acidified",4.9,4.02,0.09,14
"199-2010",2010,"March","Trailing hose","None",0,"None","Cattle",6.5,6.4,"Field acidified",4.9,4.02,0.09,14
"047-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,4.9
"146-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,1.4
"212-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,2.1
"265-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,7.1
"325-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,2.7
"365-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,3.8
"046-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,7
"145-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,2.2
"211-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,3.4
"264-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,8.6
"324-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,3.3
"364-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,4.8
"049-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,2.4
"148-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,0.68
"214-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,1
"267-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,5.3
"327-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,2.2
"367-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,3
"048-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,3.2
"147-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,0.86
"213-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6.4,"Field acidified",4.9,4.02,0.09,1.3
