"ID","Decade","Application period","Application method","Crop","Crop height (cm)","Incorporation","Manure source","Manure DM (%)","Manure pH","Manure treatment","Air temperature (deg. C)","Wind speed (m/s)","Rainfall rate (mm/h)","Emission factor (% of applied TAN)"
"120-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,9.6
"133-2010",2010,"March","Trailing hose","None",0,"None","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,9.6
"304-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,4.7
"305-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,3.8
"306-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,3.3
"307-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,3.1
"112-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,3.1
"113-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,1.9
"114-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,1.2
"115-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,6,"Barn acidified",4.9,4.02,0.09,0.92
"153-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,7
"166-2010",2010,"March","Trailing hose","None",0,"None","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,7
"324-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,3.3
"325-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,2.7
"326-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,2.3
"327-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,2.2
"145-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,2.2
"146-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,1.4
"147-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6,"Barn acidified",4.9,4.02,0.09,0.86
