"ID","Decade","Application period","Application method","Crop","Crop height (cm)","Incorporation","Manure source","Manure DM (%)","Manure pH","Manure treatment","Air temperature (deg. C)","Wind speed (m/s)","Rainfall rate (mm/h)","Emission factor (% of applied TAN)"
"017-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Cattle",6.5,7,"None",4.9,4.02,0.09,22
"244-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,14
"245-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,11
"246-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,8.8
"247-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,8.1
"009-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,11
"010-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,6.8
"011-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,4.1
"012-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,7,"None",4.9,4.02,0.09,3.1
"054-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Pig",3.9,7.2,"None",4.9,4.02,0.09,14
"264-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,8.6
"265-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,7.1
"266-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,5.8
"267-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,5.3
"046-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,7
"047-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,4.9
"048-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,3.2
"049-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,7.2,"None",4.9,4.02,0.09,2.4
"091-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Digestate",5.1,7.9,"None",4.9,4.02,0.09,28
"284-2010",2010,"March","Trailing hose","None",0,"Shallow 24 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,22
"285-2010",2010,"March","Trailing hose","None",0,"Shallow 12 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,19
"286-2010",2010,"March","Trailing hose","None",0,"Shallow 6 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,16
"287-2010",2010,"March","Trailing hose","None",0,"Shallow 4 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,14
"083-2010",2010,"March","Trailing hose","None",0,"Deep 24 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,20
"084-2010",2010,"March","Trailing hose","None",0,"Deep 12 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,16
"085-2010",2010,"March","Trailing hose","None",0,"Deep 6 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,11
"086-2010",2010,"March","Trailing hose","None",0,"Deep 4 hr","Digestate",5.1,7.9,"None",4.9,4.02,0.09,8.7
"003-2010",2010,"March","Open slot injection","Grass",10,"Not relevant","Cattle",6.5,7,"None",4.9,4.02,0.09,12
"040-2010",2010,"March","Open slot injection","Grass",10,"Not relevant","Pig",3.9,7.2,"None",4.9,4.02,0.09,9.7
"077-2010",2010,"March","Open slot injection","Grass",10,"Not relevant","Digestate",5.1,7.9,"None",4.9,4.02,0.09,16
"001-2010",2010,"March","Closed slot injection","None",0,"Not relevant","Cattle",6.5,7,"None",4.9,4.02,0.09,1.6
"038-2010",2010,"March","Closed slot injection","None",0,"Not relevant","Pig",3.9,7.2,"None",4.9,4.02,0.09,1.8
"075-2010",2010,"March","Closed slot injection","None",0,"Not relevant","Digestate",5.1,7.9,"None",4.9,4.02,0.09,2.6
"018-2010",2010,"April","Trailing hose","Winter cereal",25,"None","Cattle",6.5,7,"None",8.5,3.91,0.09,27
"248-2010",2010,"April","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,19
"249-2010",2010,"April","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,15
"250-2010",2010,"April","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,12
"251-2010",2010,"April","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,10
"013-2010",2010,"April","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,16
"014-2010",2010,"April","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,10
"015-2010",2010,"April","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,6.4
"016-2010",2010,"April","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,7,"None",8.5,3.91,0.09,4.7
"055-2010",2010,"April","Trailing hose","Winter cereal",25,"None","Pig",3.9,7.2,"None",8.5,3.91,0.09,15
"268-2010",2010,"April","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,9.8
"269-2010",2010,"April","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,8.5
"270-2010",2010,"April","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,7
"271-2010",2010,"April","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,6.2
"050-2010",2010,"April","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,8.3
"051-2010",2010,"April","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,6.5
"052-2010",2010,"April","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,4.5
"053-2010",2010,"April","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,3.5
"092-2010",2010,"April","Trailing hose","Winter cereal",25,"None","Digestate",5.1,7.9,"None",8.5,3.91,0.09,29
"288-2010",2010,"April","Trailing hose","None",0,"Shallow 24 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,23
"289-2010",2010,"April","Trailing hose","None",0,"Shallow 12 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,22
