"decade","app.timing","app.mthd","crop.status","incorp","incorp.timing","man.source","None","Barn acidified","Field acidified","rr6.4","rr6.0"
2010,"March","Trailing hose","-","None","None","Cattle",NA,9.6,14,NA,NA
2010,"March","Trailing hose","-","None","None","Pig",NA,7,9.2,NA,NA
2010,"March","Trailing hose","-","Shallow","12.0","Cattle",11,3.8,5.9,46.4,65.5
2010,"March","Trailing hose","-","Shallow","12.0","Pig",7.1,2.7,3.8,46.5,62
2010,"March","Trailing hose","-","Shallow","12.0","Digestate",19,NA,NA,NA,NA
2010,"March","Trailing hose","-","Shallow","24.0","Cattle",14,4.7,7.4,47.1,66.4
2010,"March","Trailing hose","-","Shallow","24.0","Pig",8.6,3.3,4.8,44.2,61.6
2010,"March","Trailing hose","-","Shallow","24.0","Digestate",22,NA,NA,NA,NA
2010,"March","Trailing hose","-","Shallow","4.0","Cattle",8.1,3.1,4.7,42,61.7
2010,"March","Trailing hose","-","Shallow","4.0","Pig",5.3,2.2,3,43.4,58.5
2010,"March","Trailing hose","-","Shallow","4.0","Digestate",14,NA,NA,NA,NA
2010,"March","Trailing hose","-","Shallow","6.0","Cattle",8.8,3.3,5,43.2,62.5
2010,"March","Trailing hose","-","Shallow","6.0","Pig",5.8,2.3,3.2,44.8,60.3
2010,"March","Trailing hose","-","Shallow","6.0","Digestate",16,NA,NA,NA,NA
2010,"March","Trailing hose","-","Deep","12.0","Cattle",6.8,1.9,3.2,52.9,72.1
2010,"March","Trailing hose","-","Deep","12.0","Pig",4.9,1.4,2.1,57.1,71.4
2010,"March","Trailing hose","-","Deep","12.0","Digestate",16,NA,NA,NA,NA
2010,"March","Trailing hose","-","Deep","24.0","Cattle",11,3.1,5.2,52.7,71.8
2010,"March","Trailing hose","-","Deep","24.0","Pig",7,2.2,3.4,51.4,68.6
2010,"March","Trailing hose","-","Deep","24.0","Digestate",20,NA,NA,NA,NA
2010,"March","Trailing hose","-","Deep","4.0","Cattle",3.1,0.92,1.5,51.6,70.3
2010,"March","Trailing hose","-","Deep","4.0","Pig",2.4,0.68,1,58.3,71.7
2010,"March","Trailing hose","-","Deep","4.0","Digestate",8.7,NA,NA,NA,NA
2010,"March","Trailing hose","-","Deep","6.0","Cattle",4.1,1.2,1.9,53.7,70.7
2010,"March","Trailing hose","-","Deep","6.0","Pig",3.2,0.86,1.3,59.4,73.1
2010,"March","Trailing hose","-","Deep","6.0","Digestate",11,NA,NA,NA,NA
2010,"March","Trailing hose","+","None","None","Cattle",22,9.6,14,36.4,56.4
2010,"March","Trailing hose","+","None","None","Pig",14,7,9.2,34.3,50
2010,"March","Trailing hose","+","None","None","Digestate",28,NA,NA,NA,NA
2010,"March","Open slot injection","+","None","None","Cattle",12,NA,NA,NA,NA
2010,"March","Open slot injection","+","None","None","Pig",9.7,NA,NA,NA,NA
2010,"March","Open slot injection","+","None","None","Digestate",16,NA,NA,NA,NA
2010,"March","Closed slot injection","-","None","None","Cattle",1.6,NA,NA,NA,NA
2010,"March","Closed slot injection","-","None","None","Pig",1.8,NA,NA,NA,NA
2010,"March","Closed slot injection","-","None","None","Digestate",2.6,NA,NA,NA,NA
2010,"April","Trailing hose","-","None","None","Cattle",NA,13,18,NA,NA
2010,"April","Trailing hose","-","None","None","Pig",NA,8.2,10,NA,NA
2010,"April","Trailing hose","-","Shallow","12.0","Cattle",15,5.4,8.3,44.7,64
2010,"April","Trailing hose","-","Shallow","12.0","Pig",8.5,3.4,4.8,43.5,60
2010,"April","Trailing hose","-","Shallow","12.0","Digestate",22,NA,NA,NA,NA
2010,"April","Trailing hose","-","Shallow","24.0","Cattle",19,6.9,11,42.1,63.7
2010,"April","Trailing hose","-","Shallow","24.0","Pig",9.8,4.3,6,38.8,56.1
2010,"April","Trailing hose","-","Shallow","24.0","Digestate",23,NA,NA,NA,NA
2010,"April","Trailing hose","-","Shallow","4.0","Cattle",10,4.3,6.3,37,57
2010,"April","Trailing hose","-","Shallow","4.0","Pig",6.2,2.7,3.6,41.9,56.5
2010,"April","Trailing hose","-","Shallow","4.0","Digestate",17,NA,NA,NA,NA
2010,"April","Trailing hose","-","Shallow","6.0","Cattle",12,4.6,6.9,42.5,61.7
2010,"April","Trailing hose","-","Shallow","6.0","Pig",7,2.9,4,42.9,58.6
2010,"April","Trailing hose","-","Shallow","6.0","Digestate",19,NA,NA,NA,NA
2010,"April","Trailing hose","-","Deep","12.0","Cattle",10,2.9,5,50,71
2010,"April","Trailing hose","-","Deep","12.0","Pig",6.5,1.9,3,53.8,70.8
2010,"April","Trailing hose","-","Deep","12.0","Digestate",20,NA,NA,NA,NA
2010,"April","Trailing hose","-","Deep","24.0","Cattle",16,4.9,8.1,49.4,69.4
2010,"April","Trailing hose","-","Deep","24.0","Pig",8.3,3.1,4.7,43.4,62.7
2010,"April","Trailing hose","-","Deep","24.0","Digestate",21,NA,NA,NA,NA
2010,"April","Trailing hose","-","Deep","4.0","Cattle",4.7,1.4,2.2,53.2,70.2
2010,"April","Trailing hose","-","Deep","4.0","Pig",3.5,0.93,1.4,60,73.4
2010,"April","Trailing hose","-","Deep","4.0","Digestate",13,NA,NA,NA,NA
2010,"April","Trailing hose","-","Deep","6.0","Cattle",6.4,1.8,3,53.1,71.9
2010,"April","Trailing hose","-","Deep","6.0","Pig",4.5,1.2,1.9,57.8,73.3
2010,"April","Trailing hose","-","Deep","6.0","Digestate",15,NA,NA,NA,NA
2010,"April","Trailing hose","+","None","None","Cattle",27,13,18,33.3,51.9
2010,"April","Trailing hose","+","None","None","Pig",15,8.2,10,33.3,45.3
2010,"April","Trailing hose","+","None","None","Digestate",29,NA,NA,NA,NA
2010,"April","Open slot injection","+","None","None","Cattle",14,NA,NA,NA,NA
2010,"April","Open slot injection","+","None","None","Pig",9.8,NA,NA,NA,NA
2010,"April","Open slot injection","+","None","None","Digestate",17,NA,NA,NA,NA
2010,"April","Closed slot injection","-","None","None","Cattle",1.6,NA,NA,NA,NA
2010,"April","Closed slot injection","-","None","None","Pig",1.8,NA,NA,NA,NA
2010,"April","Closed slot injection","-","None","None","Digestate",2.6,NA,NA,NA,NA
2010,"May","Trailing hose","+","None","None","Cattle",30,17,22,26.7,43.3
2010,"May","Trailing hose","+","None","None","Pig",15,9.3,11,26.7,38
2010,"May","Trailing hose","+","None","None","Digestate",30,NA,NA,NA,NA
2010,"Spring-summer","Broadcast","+","None","None","Cattle",48,38,42,12.5,20.8
2010,"Spring-summer","Broadcast","+","None","None","Pig",33,21,25,24.2,36.4
2010,"Spring-summer","Broadcast","+","None","None","Digestate",50,NA,NA,NA,NA
2010,"Summer","Trailing hose","-","None","None","Cattle",NA,22,27,NA,NA
2010,"Summer","Trailing hose","-","None","None","Pig",NA,10,12,NA,NA
2010,"Summer","Trailing hose","-","Shallow","12.0","Cattle",25,11,16,36,56
2010,"Summer","Trailing hose","-","Shallow","12.0","Pig",10,5.7,7.5,25,43
2010,"Summer","Trailing hose","-","Shallow","12.0","Digestate",24,NA,NA,NA,NA
2010,"Summer","Trailing hose","-","Shallow","24.0","Cattle",29,14,20,31,51.7
2010,"Summer","Trailing hose","-","Shallow","24.0","Pig",11,7,8.7,20.9,36.4
2010,"Summer","Trailing hose","-","Shallow","24.0","Digestate",24,NA,NA,NA,NA
2010,"Summer","Trailing hose","-","Shallow","4.0","Cattle",17,8.1,11,35.3,52.4
2010,"Summer","Trailing hose","-","Shallow","4.0","Pig",8.8,4.1,5.3,39.8,53.4
2010,"Summer","Trailing hose","-","Shallow","4.0","Digestate",23,NA,NA,NA,NA
2010,"Summer","Trailing hose","-","Shallow","6.0","Cattle",20,8.9,13,35,55.5
2010,"Summer","Trailing hose","-","Shallow","6.0","Pig",9.6,4.5,6,37.5,53.1
2010,"Summer","Trailing hose","-","Shallow","6.0","Digestate",23,NA,NA,NA,NA
2010,"Summer","Trailing hose","-","Deep","12.0","Cattle",22,7.6,12,45.5,65.5
2010,"Summer","Trailing hose","-","Deep","12.0","Pig",8.9,4.2,6,32.6,52.8
2010,"Summer","Trailing hose","-","Deep","12.0","Digestate",22,NA,NA,NA,NA
2010,"Summer","Trailing hose","-","Deep","24.0","Cattle",27,12,18,33.3,55.6
2010,"Summer","Trailing hose","-","Deep","24.0","Pig",9.6,6,7.7,19.8,37.5
2010,"Summer","Trailing hose","-","Deep","24.0","Digestate",23,NA,NA,NA,NA
2010,"Summer","Trailing hose","-","Deep","4.0","Cattle",11,3.3,5.6,49.1,70
2010,"Summer","Trailing hose","-","Deep","4.0","Pig",6.7,2,3.1,53.7,70.1
2010,"Summer","Trailing hose","-","Deep","4.0","Digestate",20,NA,NA,NA,NA
2010,"Summer","Trailing hose","-","Deep","6.0","Cattle",15,4.5,7.5,50,70
2010,"Summer","Trailing hose","-","Deep","6.0","Pig",7.8,2.6,4.1,47.4,66.7
2010,"Summer","Trailing hose","-","Deep","6.0","Digestate",21,NA,NA,NA,NA
2010,"Summer","Trailing hose","+","None","None","Cattle",33,22,27,18.2,33.3
2010,"Summer","Trailing hose","+","None","None","Pig",16,10,12,25,37.5
2010,"Summer","Trailing hose","+","None","None","Digestate",30,NA,NA,NA,NA
2010,"Summer, before winter rapeseed","Closed slot injection","-","None","None","Cattle",1.6,NA,NA,NA,NA
2010,"Summer, before winter rapeseed","Closed slot injection","-","None","None","Pig",1.8,NA,NA,NA,NA
2010,"Summer, before winter rapeseed","Closed slot injection","-","None","None","Digestate",2.6,NA,NA,NA,NA
2010,"Summer, grass","Open slot injection","+","None","None","Cattle",15,NA,NA,NA,NA
2010,"Summer, grass","Open slot injection","+","None","None","Pig",10,NA,NA,NA,NA
2010,"Summer, grass","Open slot injection","+","None","None","Digestate",17,NA,NA,NA,NA
2010,"Late summer-autumn","Broadcast","-","None","None","Cattle",48,39,43,10.4,18.8
2010,"Late summer-autumn","Broadcast","-","None","None","Pig",33,22,25,24.2,33.3
2010,"Late summer-autumn","Broadcast","-","None","None","Digestate",50,NA,NA,NA,NA
2010,"Late summer-autumn","Broadcast","-","Shallow","< 12 hours","Cattle",37,29,34,8.11,21.6
2010,"Late summer-autumn","Broadcast","-","Shallow","< 12 hours","Pig",17,12,14,17.6,29.4
2010,"Late summer-autumn","Broadcast","-","Shallow","< 12 hours","Digestate",32,NA,NA,NA,NA
2010,"Late summer-autumn","Broadcast","-","Shallow","> 12 hours","Cattle",37,29,34,8.11,21.6
2010,"Late summer-autumn","Broadcast","-","Shallow","> 12 hours","Pig",17,12,14,17.6,29.4
2010,"Late summer-autumn","Broadcast","-","Shallow","> 12 hours","Digestate",32,NA,NA,NA,NA
2010,"Late summer-autumn","Broadcast","-","Deep","< 12 hours","Cattle",34,25,31,8.82,26.5
2010,"Late summer-autumn","Broadcast","-","Deep","< 12 hours","Pig",12,9.7,10,16.7,19.2
2010,"Late summer-autumn","Broadcast","-","Deep","< 12 hours","Digestate",26,NA,NA,NA,NA
2010,"Late summer-autumn","Broadcast","-","Deep","> 12 hours","Cattle",34,25,31,8.82,26.5
2010,"Late summer-autumn","Broadcast","-","Deep","> 12 hours","Pig",12,9.7,10,16.7,19.2
2010,"Late summer-autumn","Broadcast","-","Deep","> 12 hours","Digestate",26,NA,NA,NA,NA
2010,"Late summer-autumn","Broadcast","+","None","None","Cattle",48,39,43,10.4,18.8
2010,"Late summer-autumn","Broadcast","+","None","None","Pig",33,22,25,24.2,33.3
2010,"Late summer-autumn","Broadcast","+","None","None","Digestate",50,NA,NA,NA,NA
2010,"Autumn","Trailing hose","-","None","None","Cattle",NA,19,25,NA,NA
2010,"Autumn","Trailing hose","-","None","None","Pig",NA,9.9,12,NA,NA
2010,"Autumn","Trailing hose","-","Shallow","12.0","Cattle",22,9.4,14,36.4,57.3
2010,"Autumn","Trailing hose","-","Shallow","12.0","Pig",10,5,6.8,32,50
2010,"Autumn","Trailing hose","-","Shallow","12.0","Digestate",24,NA,NA,NA,NA
2010,"Autumn","Trailing hose","-","Shallow","24.0","Cattle",26,12,18,30.8,53.8
2010,"Autumn","Trailing hose","-","Shallow","24.0","Pig",11,6.3,8.1,26.4,42.7
2010,"Autumn","Trailing hose","-","Shallow","24.0","Digestate",24,NA,NA,NA,NA
2010,"Autumn","Trailing hose","-","Shallow","4.0","Cattle",15,7,9.7,35.3,53.3
2010,"Autumn","Trailing hose","-","Shallow","4.0","Pig",8.1,3.7,4.8,40.7,54.3
2010,"Autumn","Trailing hose","-","Shallow","4.0","Digestate",21,NA,NA,NA,NA
2010,"Autumn","Trailing hose","-","Shallow","6.0","Cattle",17,7.6,11,35.3,55.3
2010,"Autumn","Trailing hose","-","Shallow","6.0","Pig",9,4.1,5.4,40,54.4
2010,"Autumn","Trailing hose","-","Shallow","6.0","Digestate",23,NA,NA,NA,NA
2010,"Autumn","Trailing hose","-","Deep","12.0","Cattle",19,6,9.9,47.9,68.4
2010,"Autumn","Trailing hose","-","Deep","12.0","Pig",8.6,3.5,5.2,39.5,59.3
2010,"Autumn","Trailing hose","-","Deep","12.0","Digestate",22,NA,NA,NA,NA
2010,"Autumn","Trailing hose","-","Deep","24.0","Cattle",25,9.7,15,40,61.2
2010,"Autumn","Trailing hose","-","Deep","24.0","Pig",9.4,5.2,7,25.5,44.7
