"decade","man.source","app.timing","EF.2008","EFp"
2000,"Cattle","March",24.5,12
2000,"Cattle","April",26.7,13
2000,"Cattle","Summer, grass",32,15
2000,"Cattle","Autumn",28.6,15
2000,"Pig","March",12.8,9.6
2000,"Pig","April",14,9.8
2000,"Pig","Summer, grass",16.8,10
2000,"Pig","Autumn",15,10
2010,"Cattle","March",24.5,12
2010,"Cattle","April",26.7,14
2010,"Cattle","Summer, grass",32,15
2010,"Cattle","Autumn",28.6,15
2010,"Pig","March",12.8,9.7
2010,"Pig","April",14,9.8
2010,"Pig","Summer, grass",16.8,10
2010,"Pig","Autumn",15,10
