"decade","man.source","app.timing","incorp.descrip","EF.2008","EFp"
2000,"Pig","March","None",13.9,14
2000,"Pig","April","None",14.8,15
2000,"Pig","May","None",13.4,15
2000,"Pig","Summer","None",3.1,16
2000,"Pig","Autumn","None",16.8,15
2000,"Pig","March","Shallow 4 hr",7,5.1
2000,"Pig","April","Shallow 4 hr",7.7,6
2000,"Pig","Summer","Shallow 4 hr",9.2,8.7
2000,"Pig","Autumn","Shallow 4 hr",8.2,8
2000,"Pig","March","Deep 4 hr",7,2.2
2000,"Pig","April","Deep 4 hr",7.7,3.1
2000,"Pig","Summer","Deep 4 hr",9.2,6.6
2000,"Pig","Autumn","Deep 4 hr",8.2,5.7
2000,"Cattle","March","None",26.4,21
2000,"Cattle","April","None",28.1,25
2000,"Cattle","May","None",25.5,29
2000,"Cattle","Summer","None",6,32
2000,"Cattle","Autumn","None",32,31
2000,"Cattle","March","Shallow 4 hr",7,7.5
2000,"Cattle","April","Shallow 4 hr",7.6,9.6
2000,"Cattle","Summer","Shallow 4 hr",9.1,17
2000,"Cattle","Autumn","Shallow 4 hr",8.1,15
2000,"Cattle","March","Deep 4 hr",7,2.7
2000,"Cattle","April","Deep 4 hr",7.6,4.2
2000,"Cattle","Summer","Deep 4 hr",9.1,11
2000,"Cattle","Autumn","Deep 4 hr",8.1,9
2010,"Pig","March","None",13.9,14
2010,"Pig","April","None",14.8,15
2010,"Pig","May","None",13.4,15
2010,"Pig","Summer","None",3.1,16
2010,"Pig","Autumn","None",16.8,15
2010,"Pig","March","Shallow 4 hr",7,5.3
2010,"Pig","April","Shallow 4 hr",7.7,6.2
2010,"Pig","Summer","Shallow 4 hr",9.2,8.8
2010,"Pig","Autumn","Shallow 4 hr",8.2,8.1
2010,"Pig","March","Deep 4 hr",7,2.4
2010,"Pig","April","Deep 4 hr",7.7,3.5
2010,"Pig","Summer","Deep 4 hr",9.2,6.7
2010,"Pig","Autumn","Deep 4 hr",8.2,5.8
2010,"Cattle","March","None",26.4,22
2010,"Cattle","April","None",28.1,27
2010,"Cattle","May","None",25.5,30
2010,"Cattle","Summer","None",6,33
2010,"Cattle","Autumn","None",32,32
2010,"Cattle","March","Shallow 4 hr",7,8.1
2010,"Cattle","April","Shallow 4 hr",7.6,10
2010,"Cattle","Summer","Shallow 4 hr",9.1,17
2010,"Cattle","Autumn","Shallow 4 hr",8.1,15
2010,"Cattle","March","Deep 4 hr",7,3.1
2010,"Cattle","April","Deep 4 hr",7.6,4.7
2010,"Cattle","Summer","Deep 4 hr",9.1,11
2010,"Cattle","Autumn","Deep 4 hr",8.1,9.2
