"par.set","country","inst","man.source","app.mthd","ct.grp","n.obs","ct.mean","er.mean","MBE","MAE","RMSE","ME"
"1","CH",207,"cat","bc","(0,24]",277,6.96423671480144,0.141150106498195,-0.00504217120160979,0.0355167122834595,0.0513652956926746,0.693131888987832
"1","CH",207,"cat","bc","(24,48]",115,34.6387739130435,0.230490956521739,-0.00630960640453829,0.0407868962099624,0.0535562605983494,0.657599770481695
"1","CH",207,"cat","bc","(48,72]",23,52.7354347826087,0.237946086956522,0.0096002271602582,0.0361684027628061,0.0426692945106913,0.892815687749426
"1","CH",207,"cat","bc","(72,96]",3,82.8666666666667,0.454346666666667,-0.0189336601507709,0.0189336601507709,0.0197423345429994,-1596.23065243107
"1","CH",207,"cat","bc","(96,120]",4,108.2,0.461145,-0.0015565041588517,0.00674677250296643,0.0072391943608791,-42.7071245341713
"1","CH",207,"cat","bsth","(0,24]",142,7.6614438028169,0.0577338253521127,0.0121428494466351,0.0245839255900131,0.0336626015166658,0.513942878411523
"1","CH",207,"cat","bsth","(24,48]",45,32.8487333333333,0.109463911111111,0.0191134624213777,0.0380368705761508,0.0466040522234512,0.501208037346223
"1","CH",207,"cat","bsth","(48,72]",17,56.6598235294118,0.152029411764706,0.00775601882350802,0.0300705800428213,0.0336704225585575,0.790189640316126
"1","CH",207,"cat","bsth","(72,96]",3,76.517,0.201216666666667,0.0052550455535499,0.0318484130287478,0.0360364555405419,0.191167117555079
"1","CH",207,"cat","os","(0,24]",8,10.125,0.047273,-0.0176571107169871,0.0176571107169871,0.0183536130919957,-3.07770461182362
"1","CH",207,"cat","os","(24,48]",8,36.779125,0.063516,-0.0157690784628916,0.0157690784628916,0.0161289915490376,-61.2825979070716
"1","CH",207,"cat","ts","(0,24]",54,7.81443481481482,0.04909008,-0.00758481352191397,0.00921007905552657,0.013521515797122,0.833972012190178
"1","CH",207,"cat","ts","(24,48]",25,35.07112,0.08790132,-0.00616031456563444,0.00996719962269472,0.0134276222736708,0.615109943908865
"1","CH",207,"cat","ts","(48,72]",5,53.1498,0.0855212,-0.000905682613119488,0.00440563896672168,0.00511433801037666,0.860347834189844
"1","CH",207,"pig","bc","(0,24]",58,6.66436310344828,0.0680149724137931,-0.0172022475210249,0.0233477766527751,0.0312818813246806,0.150086558273727
"1","CH",207,"pig","bc","(24,48]",29,35.437275862069,0.108222724137931,0.000984205090702455,0.0238058670106904,0.0281538420306982,-0.772125921163817
"1","CH",207,"pig","bc","(48,72]",5,51.7734,0.123424,0.0173707644812683,0.0321434580029028,0.0340780472059784,-3.72237633571775
"1","DK",104,"cat","bsth","(0,24]",6,9.69438333333333,0.0828356333333333,-0.0045259317812661,0.0390676059235206,0.0542858805010061,0.5209825927057
"1","DK",104,"cat","bsth","(24,48]",1,47.167,0.06707,0.134663379444615,0.134663379444615,0.134663379444615,-Inf
"1","DK",104,"cat","bsth","(48,72]",1,49.25,0.35363,-0.126453369648633,0.126453369648633,0.126453369648633,-Inf
"1","DK",104,"cat","bsth","(72,96]",2,95.292,0.259175,0.0116516493184765,0.167773766273059,0.168177874826886,-0.173250060243627
"1","DK",104,"cat","bsth","(144,168]",2,167.71,0.295915,0.00790843665311465,0.173153882374815,0.173334388832014,-0.111711908908348
"1","DK",104,"pig","bc","(0,24]",18,13.0611111111111,0.0878151666666667,0.0288840259786131,0.0351802115327126,0.0553862807599722,-5.06187572030047
"1","DK",104,"pig","bc","(24,48]",9,45.2611111111111,0.11897,0.055885147076621,0.0567713592959724,0.0756193008467799,-6.13215346331337
"1","DK",104,"pig","bc","(72,96]",9,94.4377777777778,0.134363555555556,0.118409832986123,0.118409832986123,0.129092467545987,-14.7662969807773
"1","DK",104,"pig","bc","(144,168]",8,165.08,0.147276375,0.203505819948975,0.203505819948975,0.212084440203811,-44.1076490496868
"1","DK",104,"pig","bc","(168,192]",1,172.05,0.20539,0.162412752264704,0.162412752264704,0.162412752264704,-Inf
"1","DK",104,"pig","bsth","(0,24]",39,10.3662512820513,0.0573497512820513,0.00261289466938392,0.0266900444260453,0.0369478920800182,0.354903520618418
"1","DK",104,"pig","bsth","(24,48]",15,41.7400666666667,0.100746466666667,-0.00318545152870537,0.0415526705071191,0.0578188520861341,0.0824070458730377
"1","DK",104,"pig","bsth","(48,72]",4,49.4585,0.19399725,-0.0895135052221059,0.102611251262169,0.130619994749583,-0.975334784180041
"1","DK",104,"pig","bsth","(72,96]",11,94.547,0.121556090909091,0.00322696179970032,0.0418981791822252,0.0564439610130968,0.258259997817007
"1","DK",104,"pig","bsth","(96,120]",6,96.375,0.176228166666667,-0.0510624198451545,0.0853079640570787,0.117608982936937,-0.185789795462402
"1","DK",104,"pig","bsth","(144,168]",10,165.277,0.1185501,0.0407463253659126,0.0460683696993979,0.0581731335285515,-0.164042472541643
"1","DK",104,"pig","bsth","(168,192]",7,169.522857142857,0.217899285714286,-0.0544395213896845,0.100490637717799,0.123991902163304,-0.21709417573949
"1","DK",204,"cat","bsth","(0,24]",5,7.83622,0.1469872,0.0187409145987716,0.0213435884309874,0.0303701896899054,0.913641117166292
"1","DK",204,"cat","bsth","(24,48]",1,25.333,0.1054,0.00673521141995896,0.00673521141995896,0.00673521141995896,-Inf
"1","DK",204,"cat","bsth","(48,72]",2,50.283,0.249745,0.00100746365327781,0.00777531779487878,0.0078403156711981,0.996478214999093
"1","DK",204,"cat","bsth","(72,96]",2,72.608,0.265495,0.0080208510399303,0.0080208510399303,0.00862202622171528,0.995647881293752
"1","DK",204,"cat","bsth","(96,120]",1,96.917,0.14634,0.00682719781780533,0.00682719781780533,0.00682719781780533,-Inf
"1","DK",204,"cat","bsth","(144,168]",2,145.32,0.290655,0.0156554768864852,0.0156554768864852,0.0162512827288948,0.98450986428292
"1","DK",204,"cat","bsth","(168,192]",1,168.03,0.42757,0.0113136709992355,0.0113136709992355,0.0113136709992355,-Inf
"1","DK",204,"cat","os","(0,24]",18,7.92778888888889,0.0892422222222222,-0.0233667712965114,0.0419342100667203,0.0606575004080386,0.481454151054299
"1","DK",204,"cat","os","(24,48]",3,24.889,0.0499696666666667,0.00244080417736703,0.0105660153398981,0.0115506304260952,0.330990868503447
"1","DK",204,"cat","os","(48,72]",9,54.6944444444444,0.202530222222222,-0.073380646670713,0.0957453765738695,0.113242532260078,0.0673629086540969
"1","DK",204,"cat","os","(72,96]",6,76.3638333333333,0.124182166666667,-0.00733329865145176,0.0493808733005636,0.0629112446270338,0.304953828513765
"1","DK",204,"cat","os","(96,120]",2,96.7915,0.07545,0.0194348520662009,0.0194348520662009,0.0194477825941076,-18.254873881803
"1","DK",204,"cat","os","(120,144]",1,143.07,0.33619,-0.139042042175935,0.139042042175935,0.139042042175935,-Inf
"1","DK",204,"cat","os","(144,168]",9,152.602222222222,0.203998111111111,-0.0238583017098025,0.0960572173690089,0.107500756972585,0.196252033977637
"1","DK",204,"cat","os","(168,192]",1,168.08,0.30223,-0.0924194437169451,0.0924194437169451,0.0924194437169451,-Inf
"1","DK",204,"pig","bsth","(0,24]",22,9.02351818181818,0.0670931181818182,-0.0207144834866285,0.0289160035720752,0.0355577329204348,0.262769619538961
"1","DK",204,"pig","bsth","(24,48]",2,24.5585,0.0834335,-0.0136501197713755,0.0553538244764966,0.057012030782526,0.199877285512307
"1","DK",204,"pig","bsth","(48,72]",9,64.2647777777778,0.142166777777778,-0.0472770369243585,0.068834509967854,0.0767479005749963,-0.447469687069868
"1","DK",204,"pig","bsth","(72,96]",2,72.4165,0.189745,-0.068673329744977,0.068673329744977,0.0690804574574307,-88.9189646089362
"1","DK",204,"pig","bsth","(96,120]",3,98.6056666666667,0.225526666666667,-0.0982376225464509,0.0982376225464509,0.103329946254724,-20.5024469726391
"1","DK",204,"pig","bsth","(144,168]",3,166.846666666667,0.24739,-0.0763809893695016,0.0763809893695016,0.0880758562962239,-9.54578315707652
"1","DK",204,"pig","bsth","(168,192]",5,174.93,0.137685,0.0239322270131253,0.0510474028455552,0.0563980334203978,0.418826098509183
"1","DK",205,"cat","bsth","(0,24]",18,9.62966666666667,0.142874166666667,0.0263640429694806,0.0294768702745688,0.0377662596903386,0.858886397196618
"1","DK",205,"cat","bsth","(24,48]",4,46.4415,0.2811025,-0.0169088925736148,0.0380018460216955,0.0480125547126335,0.726998561527285
"1","DK",205,"cat","bsth","(48,72]",4,60.075,0.286105,-0.0185082489932318,0.04443,0.0517990605941901,0.539748065872344
"1","DK",205,"cat","bsth","(72,96]",4,73.0415,0.384505,-0.0330143569469335,0.0331352908741102,0.0430914240735934,-1.48292122924685
"1","DK",205,"cat","bsth","(120,144]",2,141.07,0.41179,-0.0379634609560443,0.03995,0.0551110412509245,-0.90302137231057
"1","DK",205,"cat","bsth","(144,168]",4,165.365,0.3235975,-0.0102411769068757,0.0416387413510352,0.05021600691179,0.725669462297085
"1","DK",205,"cat","os","(0,24]",10,7.410074,0.0677551,-0.00983734645599938,0.0122838899065649,0.0153737233327004,0.878110163070005
"1","DK",205,"cat","os","(24,48]",2,24.117,0.097358,-0.00137477339929457,0.00137477339929457,0.00145064499427253,-8.81658215230697
"1","DK",205,"cat","os","(48,72]",4,49.425,0.14924,-0.0235167151838582,0.0235167151838582,0.0271930720891645,-10.2155853537408
"1","DK",205,"cat","os","(72,96]",4,74.5,0.16999,-0.0305884825218913,0.0305884825218913,0.0314907255952629,-15.1955917223765
"1","DK",205,"cat","os","(120,144]",2,143.33,0.187605,-0.00773171199448064,0.00773171199448064,0.00782351553750587,-41.8615713069418
"1","DK",205,"cat","os","(144,168]",2,166.97,0.179525,-0.00677238463050164,0.010975,0.0128963490408508,-0.380780038156337
"1","DK",205,"pig","bsth","(0,24]",58,8.15057931034483,0.0590644068965517,-0.0212188441903572,0.029401632000468,0.0556499400528431,0.0345890951709453
"1","DK",205,"pig","bsth","(24,48]",12,38.586,0.145942333333333,-0.0765143342335937,0.080137824548949,0.123526258548888,-0.701258217306474
"1","DK",205,"pig","bsth","(48,72]",16,57.358375,0.1231381875,-0.0367863575945683,0.0442904201359705,0.0782751018363824,-0.43064472349769
"1","DK",205,"pig","bsth","(72,96]",12,75.0416666666667,0.196365916666667,-0.095532723331558,0.0983875579875916,0.147942226760841,-0.933008015919334
"1","DK",205,"pig","bsth","(120,144]",12,140.421666666667,0.137537166666667,-0.00440494157032562,0.035954792294289,0.047125726138131,0.042774817007617
"1","DK",205,"pig","bsth","(144,168]",6,159.043333333333,0.301978333333333,-0.149096187228796,0.149096187228796,0.181223748655187,-2.38165262564629
"1","DK",205,"pig","os","(0,24]",18,5.99447777777778,0.0261213888888889,-0.0148032527282019,0.0148032527282019,0.0166984922918151,-0.627792357925972
"1","DK",205,"pig","os","(24,48]",8,35.32475,0.052464375,-0.0182494547404503,0.0194555678214631,0.0219582516393343,-0.543812880043015
"1","DK",205,"pig","os","(48,72]",4,60.25,0.063231,-0.0129512358126661,0.0187121574328513,0.0193282404250217,-0.136233427332647
"1","DK",205,"pig","os","(72,96]",4,76.825,0.0695,-0.00893137112602569,0.0211348571181602,0.0230994226367385,-0.192708723953686
"1","DK",205,"pig","os","(120,144]",4,139.865,0.0961855,0.00689834176969197,0.0132174876111891,0.016045007009142,0.0604116465845015
"1","DK",205,"pig","os","(144,168]",2,146.65,0.0574975,0.0323398362505848,0.0323398362505848,0.0364052168646835,-3.74225148501963
