"","x"
"int.f0",-0.38753862537546
"int.r1",-0.910460071114475
"int.r2",-1.15420893431635
"int.r3",-3.05136985810872
"app.mthd.os.f0",-1.84782197477769
"app.rate.ni.f0",-0.0139374521652016
"app.rate.os.f0",-0.0544645586379307
"man.dm.f0",0.371002441473101
"app.mthd.bc.r1",0.63290963829136
"man.dm.r1",-0.138117421478407
"air.temp.r1",0.0370595023630304
"wind.2m.r1",0.049828167899731
"air.temp.r3",-0.00296380853052673
"app.mthd.os.r3",0.0959412884618238
"app.mthd.bc.r3",0.318184321065081
"rain.rate.r2",0.522567592503978
"rain.cum.r3",-0.00319018617536878
"man.source.pig.f0",-0.727331279159991
"app.mthd.ts.r1",-0.111122969338009
"ts.cereal.hght.r1",-0.19689450982968
"country.NL.f0",0.964654779607877
"country.CH.f0",-0.212407611131663
