"","x"
"int.f0",-0.556735385854198
"int.r1",-0.908267731542147
"int.r2",-1.75939958213318
"int.r3",-3.22237908223931
"app.mthd.os.f0",-1.86192917447165
"app.rate.ni.f0",-0.0123727780828018
"man.dm.f0",0.391386196532896
"app.mthd.bc.r1",0.752537702955679
"man.dm.r1",-0.133862108292123
"air.temp.r1",0.0758489890097704
"wind.2m.r1",0.169227214620069
"air.temp.r3",-0.000730094374183841
"app.mthd.bc.r3",0.565194927129484
"rain.rate.r2",0.12876090464753
"man.source.pig.f0",-0.674283182053719
"app.mthd.ts.r1",-0.518219003897046
"ts.cereal.hght.r1",-0.213560408297972
"man.ph.r1",0.665
"man.ph.r3",0.238
