"","a","b","c","d","e","f","g","h","i","j","k"
"int.f0",-0.617,-0.58,-0.388,-0.96,-1.02,-0.557,-0.48,-0.606,-0.606,-0.589,-0.385
"app.mthd.os.f0",-1.7,-2.61,-1.85,-1.46,-2.43,-1.86,-1.98,-1.74,-1.74,-1.86,-1.93
"app.rate.ni.f0",-0.0111,-0.0118,-0.0139,-0.00465,-0.00608,-0.0124,-0.0127,-0.0111,-0.0111,-0.0111,-0.0151
"app.rate.os.f0",-0.0233,-0.0123,-0.0545,-0.0506,NA,NA,NA,NA,NA,NA,NA
"man.dm.f0",0.431,0.424,0.371,0.326,0.417,0.391,0.428,0.4,0.4,0.409,0.415
"man.source.pig.f0",-0.258,-0.745,-0.727,-0.634,-0.356,-0.674,-0.643,-0.592,-0.592,-0.593,-0.636
"app.mthd.cs.f0",NA,NA,NA,NA,NA,NA,NA,NA,-7.63,NA,NA
"country.NL.f0",0.486,1.15,0.965,1.29,0.842,NA,NA,NA,NA,NA,NA
"country.CH.f0",0.0497,0.12,-0.212,0.145,0.193,NA,NA,NA,NA,NA,NA
"int.r1",-0.919,-0.678,-0.91,-0.883,-0.983,-0.908,-0.954,-0.939,-0.939,-0.94,-1.05
"app.mthd.bc.r1",0.772,0.407,0.633,0.7,1.06,0.753,0.845,0.794,0.794,0.921,0.756
"man.dm.r1",-0.0898,-0.0848,-0.138,-0.192,-0.195,-0.134,-0.139,-0.14,-0.14,-0.141,-0.115
"air.temp.r1",0.0644,0.047,0.0371,0.0777,0.095,0.0758,0.0713,0.0735,0.0735,0.0646,0.0542
"wind.2m.r1",0.132,0.0758,0.0498,0.262,0.245,0.169,0.184,0.15,0.15,0.174,0.0861
"app.mthd.ts.r1",-0.564,-0.551,-0.111,-0.507,-0.458,-0.518,-0.504,-0.459,-0.459,-0.447,-0.36
"bsth.grass.hght.r1",0.0119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bsth.cereal.hght.r1",-0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ts.grass.hght.r1",0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ts.cereal.hght.r1",-0.183,-0.161,-0.197,-0.435,-0.312,-0.214,-0.248,-0.245,-0.245,-0.245,-0.0748
"man.ph.r1",0.665,0.665,NA,0.665,0.665,0.665,0.665,0.665,0.665,0.665,NA
"int.r2",-1.2,-1.23,-1.15,-1.32,-1.7,-1.76,-1.73,-1.8,-1.8,-1.8,-1.68
"rain.rate.r2",0.573,0.376,0.523,0.538,0.115,0.129,-0.415,0.394,0.394,0.617,0.561
"int.r3",-2.91,-3.05,-3.05,-3.2,-3.07,-3.22,-3.25,-3.23,-3.23,-3.23,-3.19
"air.temp.r3",0.0137,0.00612,-0.00296,-0.0178,0.000537,-0.00073,-0.0118,NA,NA,NA,NA
"app.mthd.os.r3",-0.0221,-0.0504,0.0959,0.189,NA,NA,NA,NA,NA,NA,NA
"app.mthd.bc.r3",0.283,0.438,0.318,0.244,0.351,0.565,0.555,0.562,0.562,0.563,0.474
"rain.cum.r3",-0.0374,-0.00268,-0.00319,0.0252,NA,NA,NA,NA,NA,NA,NA
"app.mthd.cs.r3",NA,NA,NA,NA,NA,NA,NA,NA,-0.666,NA,NA
"man.ph.r3",0.238,0.238,NA,0.238,0.238,0.238,0.238,0.238,0.238,0.238,NA
