"","i"
"int.f0",-0.606
"app.mthd.os.f0",-1.74
"app.rate.ni.f0",-0.0111
"man.dm.f0",0.4
"man.source.pig.f0",-0.592
"app.mthd.cs.f0",-7.63
"int.r1",-0.939
"app.mthd.bc.r1",0.794
"man.dm.r1",-0.14
"air.temp.r1",0.0735
"wind.2m.r1",0.15
"app.mthd.ts.r1",-0.459
"ts.cereal.hght.r1",-0.245
"man.ph.r1",0.665
"int.r2",-1.8
"rain.rate.r2",0.394
"int.r3",-3.23
"app.mthd.bc.r3",0.562
"app.mthd.cs.r3",-0.666
"man.ph.r3",0.238
"incorp.shallow.f4",-0.965
"incorp.shallow.r3",-0.581
"incorp.deep.f4",-3.69
"incorp.deep.r3",-1.27
