"sid","descrip","bc","bsth","ts","os","cs","bc.red","bsth.red","ts.red","os.red","cs.red","bsth.bc.red","ts.bc.red","os.bc.red","cs.bc.red","ts.bsth.red","os.bsth.red","cs.bsth.red"
1,"ref",0.48,0.3,0.27,0.16,0.38,0,0,0,0,0,37,45,67,22,12,48,-25
2,"low DM",0.37,0.18,0.17,0.11,0.21,24,42,36,27,43,52,54,69,42,3.8,34,-22
3,"high DM",0.73,0.48,0.33,0.28,0.54,-51,-59,-23,-77,-42,34,55,62,26,32,42,-12
4,"pig",0.41,0.22,0.2,0.13,0.28,14,26,24,17,26,46,52,69,32,11,42,-25
5,"low application",0.54,0.37,0.32,0.16,0.38,-12,-21,-20,0,0,32,41,71,30,13,57,-2.7
6,"high application",0.41,0.22,0.19,0.16,0.38,15,28,27,-7.1e-13,3.3e-13,47,52,62,7.4,10,28,-74
7,"shallow incorp",0.32,0.14,0.098,0.061,0.18,34,53,63,61,52,56,69,81,43,30,57,-29
8,"deep incorp",0.26,0.085,0.04,0.031,0.11,45,72,85,81,70,68,85,88,57,53,64,-33
9,"shallow incorp quick",0.18,0.091,0.078,0.045,0.11,63,70,71,71,70,50,57,75,36,15,50,-26
10,"cold",0.47,0.21,0.15,0.13,0.26,3.3,30,43,17,32,54,67,72,45,29,39,-20
11,"cool",0.48,0.27,0.21,0.15,0.34,0.86,10,19,6.1,11,43,55,69,30,21,46,-23
12,"warm",0.48,0.32,0.3,0.16,0.4,-0.4,-5.9,-14,-3.4,-6.4,34,37,66,17,5.4,49,-25
13,"hot",0.48,0.33,0.33,0.17,0.42,-0.59,-9.1,-24,-5.3,-9.9,32,32,66,14,0.66,50,-26
14,"cooling",0.48,0.32,0.31,0.16,0.41,-0.47,-7,-17,-4.1,-7.7,33,36,66,16,4.2,50,-25
15,"warming",0.47,0.26,0.21,0.14,0.32,1.8,15,20,8.5,16,45,55,70,33,18,44,-23
16,"still",0.48,0.26,0.2,0.14,0.32,1.2,13,24,7.8,15,45,58,70,32,23,45,-23
17,"windy",0.48,0.33,0.33,0.17,0.41,-0.58,-8.9,-23,-5.2,-9.7,32,33,66,14,0.92,50,-26
18,"light rain",0.47,0.28,0.24,0.15,0.35,1.7,7.9,8.2,4.6,8.6,41,49,68,27,13,46,-24
19,"moderate rain",0.31,0.095,0.094,0.094,0.096,36,69,65,40,75,69,70,70,69,0.96,1,-0.54
20,"heavy rain",0.3,0.094,0.094,0.094,0.094,37,69,65,40,75,69,69,69,69,6.7e-07,7.2e-07,-3.7e-07
21,"pH 6.4",0.38,0.19,0.13,0.095,0.25,22,36,51,39,35,48,66,75,35,33,51,-26
22,"pH 6",0.34,0.15,0.09,0.074,0.18,30,52,66,53,51,57,73,78,46,38,50,-25
23,"tall cereal",0.48,0.3,0.085,0.16,0.38,0,0,68,0,0,37,82,67,22,72,48,-25
24,"low DM, high application, cold, still",0.33,0.12,0.1,0.1,0.15,31,62,61,34,59,65,69,69,54,10,9.8,-33
25,"high DM, low application, hot, windy",0.81,0.75,0.75,0.37,0.76,-68,-150,-180,-140,-100,7,7.2,54,5.8,0.16,51,-1.3
26,"high DM, low application, hot, windy, pH 6",0.77,0.73,0.72,0.33,0.74,-59,-140,-170,-110,-97,4.5,6.1,57,3.1,1.7,55,-1.4
27,"best",0.01,0.0028,0.0026,0.0025,0.003,98,99,99,98,99,72,74,75,70,8.6,11,-7.9
