station,date,time,prec,metp,meanwv
6069,01-04-2020,0,0,4.3,5.2
6069,01-04-2020,1,0,4.2,5.4
6069,01-04-2020,2,0,3.9,5
6069,01-04-2020,3,0,4.2,5.2
6069,01-04-2020,4,0,4,4.8
6069,01-04-2020,5,0,3.9,4.5
6069,01-04-2020,6,0.2,4,4.2
6069,01-04-2020,7,0,4.8,4.5
6069,01-04-2020,8,0,5.8,6
6069,01-04-2020,9,0,6.8,6.9
6069,01-04-2020,10,0,7.2,7.2
6069,01-04-2020,11,0.2,7.6,7
6069,01-04-2020,12,0,8.2,8.5
6069,01-04-2020,13,0,8,9.1
6069,01-04-2020,14,0,7.7,8.8
6069,01-04-2020,15,0,7.3,8
6069,01-04-2020,16,0,6.4,7.5
6069,01-04-2020,17,0.1,5.4,6.2
6069,01-04-2020,18,0,5.4,5.7
6069,01-04-2020,19,0.3,5.4,5.5
6069,01-04-2020,20,0.1,5.5,6.1
6069,01-04-2020,21,0,5.4,6.3
6069,01-04-2020,22,0,5.3,6.1
6069,01-04-2020,23,0.2,5.2,6.1
6069,02-04-2020,0,0,5.2,5.9
6069,02-04-2020,1,0.3,5.2,5.9
6069,02-04-2020,2,0.1,4.8,5.6
6069,02-04-2020,3,0,4.2,4.7
6069,02-04-2020,4,0,4.1,5.1
6069,02-04-2020,5,0,4.3,4.3
6069,02-04-2020,6,0,4.6,4.5
6069,02-04-2020,7,0,5.3,5.5
6069,02-04-2020,8,0,6.2,7.5
6069,02-04-2020,9,0,6.9,7.1
6069,02-04-2020,10,0,7.5,8.2
6069,02-04-2020,11,0,7.9,9.7
6069,02-04-2020,12,0,8.1,11.4
6069,02-04-2020,13,0,7.9,10.1
6069,02-04-2020,14,0,7.6,10.3
6069,02-04-2020,15,1.3,4.8,9.4
6069,02-04-2020,16,0.3,4.8,9.3
6069,02-04-2020,17,0,4.6,8.5
6069,02-04-2020,18,0,4.4,8.9
6069,02-04-2020,19,0,3.7,7.3
6069,02-04-2020,20,0,3.8,7.8
6069,02-04-2020,21,0.1,3.6,8.7
6069,02-04-2020,22,0.4,2.5,7.6
6069,02-04-2020,23,0.3,2.5,7
6069,03-04-2020,0,0,3.4,7.3
6069,03-04-2020,1,0.3,3.3,8.4
6069,03-04-2020,2,0,2.8,7.3
6069,03-04-2020,3,0,2.7,7.4
6069,03-04-2020,4,0.1,2.6,7.1
6069,03-04-2020,5,0,2.4,7.1
6069,03-04-2020,6,0,2.6,6.6
6069,03-04-2020,7,0,3,7.4
